Modele,Epochs_Conv,RMSE_NN_Raw,RMSE_Fn_Abs,RMSE_Fn_Rel_%,Wasserstein_Fn,RMSE_Ft_Abs,RMSE_Ft_Rel_%,Wasserstein_Ft,RMSE_Veff_Abs,RMSE_Alpha_Abs,RMSE_Induction_a,RMSE_AngleFlux_phi,Score_Global_%
GR_1_v,270,0.40572128,8.260167321355146,3.835689314958064,3.673377665804817,1.883997667749246,11.380329437536506,0.8799059508471525,0.3228634312687459,0.4743192018923418,,,15.21601875249457
L_0_f,1987,7.448209,10.304718509090849,4.831599895475263,7.285515357934731,2.1827495943821185,13.2203674097887,0.9354087299544126,,,,,18.051967305263965
GR_0_f,291,5.527709,7.279171051811507,3.380154122665502,4.112760462953276,2.850402587856993,17.217919658134438,1.2113773539928447,,,,,20.59807378079994
L_1_f,1997,11.290692,15.71545183995987,7.3685443615281985,5.707695315384968,2.825601096060084,17.113957890341684,0.875179068304844,,,,,24.48250225186988
GR_1_f,346,6.0593204,7.323236236856995,3.4006162214178666,2.887502203948954,4.449823891674306,26.879259296946454,1.3920139241002512,,,,,30.27987551836432
GR_0_v,199,2.1340978,18.642818258369218,8.65697461230125,6.246450196492013,4.417070363472412,26.681410887917107,1.4557568632371636,1.3489008533156692,2.699854350215685,,,35.33838550021836
GR_1_u,275,0.37667865,43.321949049802505,20.1169698637804,28.699314489659628,3.1976079655582947,19.315221394949013,1.4879615696751818,5.409036912874147,0.5143194998906214,0.0528623537204848,0.5300746721292489,39.43219125872942
GA_0_u,284,1.4623964,29.504029780216,12.401260814076812,16.84007185388067,6.694022250685108,36.71256358968613,2.8853581969159623,2.7360200363724485,1.912989384147685,0.1812381995159153,2.0601842218345285,49.11382440376294
GA_0_f,294,60.815197,85.8868686184792,36.10033836653455,51.02483853027248,4.519097628060492,24.78444989052592,2.1884630354511665,,,,,60.88478825706047
L_0_v,430,2.7499068,33.046061435838105,15.494391898081188,17.84182691500007,7.538159191775949,45.65674155443577,3.157509349303876,1.9558703931171413,3.3613312100932715,,,61.15113345251696
GA_0_v,1474,3.5956972,32.36659049477916,13.60446465714072,17.95829863756681,9.340735950459033,51.22814799735656,1.4859451386368123,1.5656230149987451,4.838067638340644,,,64.83261265449728
GA_1_f,266,26.256792,35.40605184780544,14.882024138132731,19.57564892667757,11.191499035702194,61.37843655510361,5.598227423044714,,,,,76.26046069323634
GA_1_v,109,3.0688286,41.71334623811049,17.533133269597414,27.81425085971172,10.999986623656373,60.32810966013,5.829664598258058,0.6076406734834439,4.297230798673811,,,77.86124292972741
L_1_v,199,1.9092574,39.73039881282021,18.628494371958222,26.915307448497423,10.127939552685548,61.342392336367055,7.504090216911363,1.9881842832491128,1.826923889073982,,,79.97088670832528
GR_0_u,155,1.0916846,99.69793796773236,46.29571054783979,31.522927135059412,7.9838458462941,48.22659680777658,3.4780112219684662,11.226819914582403,1.5387886849706658,0.0960043695603531,1.5408872986230562,94.52230735561636
L_1_u,1056,1.1649151,121.14694919218331,56.80248194433619,14.077128525643372,12.041015669823668,72.92941506061926,2.394486911101316,18.98614061551176,1.5463388633164583,0.2941519997058258,1.6209653990685928,129.73189700495544
GA_1_u,160,1.4362833,172.56980437638552,72.53528310023633,50.281958807605136,14.839911944538525,81.3877203460825,5.503469849376208,27.64707701249417,1.947847135112704,0.3640657981593827,1.99831819414555,153.92300344631883
L_0_u,169,1.8537552,353.0765993842282,165.54793410170564,248.36859028681891,24.24046204697315,146.81840522102587,13.775387068052805,34.99825607833222,2.5270553148813035,0.2122265858022043,2.6130014714560774,312.3663393227315
